               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089443,             0.02104,                   0,             0.51674,              0.5977,              0.5115,             0.17893,            0.056509,           0.0096612,                   0,            0.070476,           0.0032804,           0.0032804
                   1,            0.056457,            0.015174,                   0,             0.66126,             0.65071,             0.62776,             0.19953,            0.052105,           0.0070436,                   0,             0.04045,           0.0065873,           0.0065873
                   2,             0.04966,            0.013397,                   0,             0.80102,             0.77122,             0.80907,             0.24586,             0.04767,           0.0057843,                   0,            0.010397,           0.0098675,           0.0098675
                   3,             0.04561,             0.01027,                   0,             0.93696,             0.88123,             0.92216,             0.38359,            0.043646,           0.0054135,                   0,             0.00988,             0.00988,             0.00988
                   4,            0.040423,           0.0086419,                   0,             0.95177,             0.90726,             0.92229,             0.57586,            0.030403,           0.0041944,                   0,             0.00988,             0.00988,             0.00988
                   5,            0.037396,           0.0075528,                   0,             0.95889,             0.89362,             0.93805,             0.56496,            0.029443,            0.003973,                   0,             0.00984,             0.00984,             0.00984
                   6,            0.034746,           0.0073286,                   0,             0.96307,             0.89923,             0.92825,             0.59181,            0.027219,           0.0038282,                   0,              0.0098,              0.0098,              0.0098
                   7,            0.033787,           0.0069087,                   0,             0.95656,             0.89272,             0.93808,             0.53699,            0.030178,           0.0036967,                   0,             0.00976,             0.00976,             0.00976
                   8,            0.033626,           0.0066112,                   0,              0.9624,             0.91188,             0.94851,             0.62887,            0.027632,           0.0036964,                   0,             0.00972,             0.00972,             0.00972
                   9,            0.031431,           0.0064994,                   0,             0.94646,             0.90038,             0.93943,              0.5705,            0.030092,           0.0037874,                   0,             0.00968,             0.00968,             0.00968
                  10,             0.03003,           0.0060227,                   0,             0.95757,              0.9387,              0.9721,             0.66035,            0.025737,           0.0034528,                   0,             0.00964,             0.00964,             0.00964
                  11,            0.030057,           0.0060636,                   0,             0.95295,             0.93119,             0.95876,             0.64053,            0.026719,            0.003674,                   0,              0.0096,              0.0096,              0.0096
                  12,            0.028506,            0.005876,                   0,             0.97102,             0.91954,             0.96255,              0.6472,            0.025723,           0.0035198,                   0,             0.00956,             0.00956,             0.00956
                  13,             0.02904,           0.0059249,                   0,             0.95712,             0.91571,             0.95491,             0.63463,            0.024957,           0.0034006,                   0,             0.00952,             0.00952,             0.00952
                  14,            0.027831,           0.0059087,                   0,             0.96858,              0.9448,             0.96327,             0.64496,              0.0248,           0.0032729,                   0,             0.00948,             0.00948,             0.00948
                  15,            0.028312,           0.0058214,                   0,             0.95239,             0.91974,             0.96848,             0.69961,            0.022747,           0.0033509,                   0,             0.00944,             0.00944,             0.00944
                  16,            0.027328,           0.0056178,                   0,             0.95773,              0.9272,             0.95404,             0.62356,            0.025677,           0.0032822,                   0,              0.0094,              0.0094,              0.0094
                  17,            0.026418,           0.0056432,                   0,             0.96016,             0.92333,             0.96352,             0.68276,            0.024592,           0.0032658,                   0,             0.00936,             0.00936,             0.00936
                  18,            0.026696,           0.0055187,                   0,             0.96332,             0.91954,             0.95555,             0.66678,            0.024138,           0.0033953,                   0,             0.00932,             0.00932,             0.00932
                  19,            0.025826,           0.0056164,                   0,             0.97895,             0.93487,              0.9802,             0.59933,            0.028374,            0.003279,                   0,             0.00928,             0.00928,             0.00928
                  20,            0.026379,           0.0056149,                   0,             0.98593,             0.94636,             0.98614,             0.70022,            0.023778,           0.0031646,                   0,             0.00924,             0.00924,             0.00924
